respondent,mainbranch,age,country,edlevel,employment,yearscodepro,languageworkedwith,databaseworkedwith,platformworkedwith
3873,I am a developer by profession,24.0,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Employed full-time,1,Bash/Shell/PowerShell;HTML/CSS;JavaScript;Python,Firebase,Linux
3877,I am a developer by profession,34.0,Finland,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Employed full-time,11,HTML/CSS;Java;JavaScript;SQL;TypeScript,Oracle;PostgreSQL,Linux;Other(s):
3879,I am a developer by profession,24.0,Pakistan,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Employed full-time,4,Bash/Shell/PowerShell;C++;C#;HTML/CSS;JavaScript;Rust;TypeScript,,Android;Docker;iOS;Slack
3882,"I am not primarily a developer, but I write code sometimes as part of my work",30.0,El Salvador,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",Employed full-time,7,C#;HTML/CSS;Java;JavaScript;SQL;VBA,Oracle,Android;Microsoft Azure
3883,I am a developer by profession,35.0,Bangladesh,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",Employed full-time,3,Bash/Shell/PowerShell;HTML/CSS;Java;JavaScript;PHP,MariaDB;Microsoft SQL Server;MySQL;Oracle,Android;Arduino;Raspberry Pi;WordPress
3884,I am a developer by profession,34.0,France,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",Employed full-time,9,Bash/Shell/PowerShell;C;C++;HTML/CSS;JavaScript;Python;SQL,Elasticsearch;PostgreSQL;Redis,Linux
3886,I am a developer by profession,35.0,United States,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Employed full-time,12,Bash/Shell/PowerShell;C#;HTML/CSS;JavaScript;PHP;SQL;TypeScript,Elasticsearch;Firebase;MongoDB;Microsoft SQL Server,Docker;Google Cloud Platform;Microsoft Azure;Windows
3888,"I am not primarily a developer, but I write code sometimes as part of my work",29.0,Switzerland,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",Employed full-time,5,Bash/Shell/PowerShell;C++;C#;HTML/CSS;JavaScript;Python;R;WebAssembly,,Docker;Linux;Microsoft Azure;Slack;Windows
3889,I am a developer by profession,24.0,United Kingdom,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Employed full-time,4,HTML/CSS;Java;JavaScript;Python;R;SQL,Microsoft SQL Server,Microsoft Azure
3890,I am a developer by profession,29.0,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Employed full-time,5,HTML/CSS;Java;JavaScript;PHP;SQL,Microsoft SQL Server;MySQL,Slack;Windows;WordPress
3894,I am a developer by profession,46.0,Austria,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",Employed full-time,20,Bash/Shell/PowerShell;HTML/CSS;Java;JavaScript;Python;SQL;Other(s):,MySQL;Oracle,Docker;Kubernetes;Slack;Windows
3895,I am a developer by profession,37.0,Germany,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",Employed full-time,7,Scala,Elasticsearch;MongoDB,Docker
3896,I am a developer by profession,34.0,Germany,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Employed full-time,7,Bash/Shell/PowerShell;Objective-C;Python;R;Swift,Firebase,iOS;Slack
3897,I am a developer by profession,27.0,Canada,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Employed full-time,4,PHP;Python,MySQL;PostgreSQL,Linux
3908,I am a developer by profession,25.0,Brazil,Some college/university study without earning a degree,Employed full-time,4,C#;HTML/CSS;SQL,MongoDB;MySQL,Linux
3909,I am a developer by profession,45.0,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Employed full-time,15,Bash/Shell/PowerShell;C#;Java;JavaScript;SQL;TypeScript,DynamoDB;Elasticsearch;MongoDB;Microsoft SQL Server;MySQL;SQLite,Android;AWS;Docker;Linux;Raspberry Pi;Windows;WordPress
3910,I am a developer by profession,24.0,India,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Employed full-time,2,HTML/CSS;Java;JavaScript;PHP;TypeScript,MariaDB;MySQL;PostgreSQL,AWS;Google Cloud Platform;Heroku;Linux
3913,I am a developer by profession,34.0,Pakistan,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Employed full-time,12,HTML/CSS;Java;JavaScript;PHP;TypeScript,Couchbase;Elasticsearch;Firebase;MariaDB;Microsoft SQL Server;MySQL;Redis,Android;Google Cloud Platform;Slack;Windows;WordPress
3915,I am a developer by profession,39.0,Portugal,,Employed full-time,14,C#,Microsoft SQL Server,Windows
3916,"I am not primarily a developer, but I write code sometimes as part of my work",25.0,Germany,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",Employed full-time,1,Python;SQL,Elasticsearch,Docker;iOS;MacOS;Slack
3917,I am a developer by profession,28.0,Finland,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Employed full-time,6,HTML/CSS;JavaScript;Other(s):,MongoDB;Redis,
3919,I am a developer by profession,48.0,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Employed full-time,19,C#;HTML/CSS;Java;JavaScript;SQL,MariaDB;Microsoft SQL Server,Linux;MacOS;Microsoft Azure;Windows
3920,I am a developer by profession,27.0,Hungary,Associate degree,Employed full-time,1,Java,Elasticsearch;MySQL;Redis,Linux
3922,"I am not primarily a developer, but I write code sometimes as part of my work",24.0,India,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",Employed full-time,Less than 1 year,Bash/Shell/PowerShell;Java;JavaScript;SQL,Cassandra;Elasticsearch;MySQL;Oracle,Linux;Windows
3924,I am a developer by profession,30.0,Spain,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Employed full-time,4,Go;JavaScript;Python;SQL;TypeScript,Elasticsearch;PostgreSQL;Redis,Google Cloud Platform;Kubernetes
3928,I am a developer by profession,35.0,United States,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",Employed full-time,13,Elixir;Java;Kotlin;Python;Rust;SQL;Other(s):,Elasticsearch;Microsoft SQL Server,Docker;Linux
3930,I am a developer by profession,26.0,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Employed full-time,7,Ruby,Elasticsearch;MongoDB;Redis,AWS
3932,I am a developer by profession,23.0,United Kingdom,Some college/university study without earning a degree,Employed full-time,4,C#;HTML/CSS;JavaScript;SQL;TypeScript,Microsoft SQL Server;MySQL,
3933,I am a developer by profession,40.0,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Employed full-time,18,HTML/CSS;Java;JavaScript;PHP;Swift,Microsoft SQL Server;MySQL;Oracle,Linux;MacOS;Windows
3937,I am a developer by profession,22.0,India,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Employed full-time,Less than 1 year,Assembly;C;C++;HTML/CSS;Java;JavaScript;PHP;Python;R;SQL;Swift;Other(s):,MongoDB;MySQL;Oracle;PostgreSQL;SQLite,Android;Arduino;AWS;Docker;Heroku;iOS;Raspberry Pi
3938,I am a developer by profession,25.0,France,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Employed full-time,1,Bash/Shell/PowerShell;C++;C#;JavaScript;TypeScript,,Android;iOS;Windows
3940,I am a developer by profession,27.0,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Employed full-time,2,Bash/Shell/PowerShell;C#;HTML/CSS;JavaScript;PHP;SQL,Microsoft SQL Server;MySQL;SQLite,iOS;Windows;WordPress
3941,I am a developer by profession,53.0,United States,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",Employed full-time,35,Bash/Shell/PowerShell;Python;Ruby,PostgreSQL,Google Cloud Platform;Linux
3942,I am a developer by profession,37.0,China,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",Employed full-time,13,Bash/Shell/PowerShell;Go;Java;Python;Other(s):,Elasticsearch;MongoDB;MySQL;PostgreSQL;Redis;SQLite,Docker;Kubernetes;Linux;Microsoft Azure;Windows
3943,"I am not primarily a developer, but I write code sometimes as part of my work",33.0,United Kingdom,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Employed full-time,2,HTML/CSS;Python;SQL,Microsoft SQL Server;MySQL;Other(s):,Google Cloud Platform
3945,I am a developer by profession,26.0,Russian Federation,Some college/university study without earning a degree,Employed full-time,3,Bash/Shell/PowerShell;Python;SQL,Elasticsearch;Microsoft SQL Server;PostgreSQL;Other(s):,Docker;Linux;MacOS;Microsoft Azure
3946,I am a developer by profession,24.0,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Employed full-time,3,Bash/Shell/PowerShell;C#;HTML/CSS;Java;JavaScript;Python;R;SQL;Swift;TypeScript;Other(s):,DynamoDB;Elasticsearch;MongoDB;Microsoft SQL Server;MySQL;Oracle;PostgreSQL;Redis;SQLite,AWS;Docker;Google Cloud Platform;Kubernetes;Linux
3950,"I am not primarily a developer, but I write code sometimes as part of my work",18.0,Iran,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Employed full-time,4,C++;C#;Dart;Java;Kotlin,Microsoft SQL Server;MySQL;Oracle;SQLite,Android;iOS;Linux;Windows
3953,I am a developer by profession,45.0,Colombia,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",Employed full-time,25,HTML/CSS;JavaScript;SQL,Microsoft SQL Server,Microsoft Azure;WordPress
3954,I am a developer by profession,42.0,Spain,Some college/university study without earning a degree,Employed full-time,22,Assembly;C;C++;Clojure;HTML/CSS;Java;JavaScript;Ruby;TypeScript;Other(s):,Couchbase;Elasticsearch;Firebase;Microsoft SQL Server;MySQL;PostgreSQL;Redis;SQLite,Android;AWS;Docker;Google Cloud Platform;Heroku;Linux;MacOS;Raspberry Pi;Slack;Windows
3955,I am a developer by profession,30.0,Germany,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Employed full-time,10,HTML/CSS;JavaScript;PHP,MongoDB;MySQL;SQLite,
3957,I am a developer by profession,38.0,Greece,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",Employed full-time,15,C#;HTML/CSS;JavaScript;Objective-C;PHP;SQL;TypeScript,Couchbase;Elasticsearch;MongoDB;Microsoft SQL Server;MySQL;Oracle;Redis;SQLite,Android;Docker;iOS;Microsoft Azure;WordPress
3959,I am a developer by profession,28.0,Serbia,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Employed full-time,7,JavaScript;PHP,Microsoft SQL Server;MySQL,AWS;Docker;Linux
3963,I am a developer by profession,37.0,Uruguay,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",Employed full-time,12,Bash/Shell/PowerShell;Java;SQL,PostgreSQL,Linux
3973,I am a developer by profession,38.0,United States,Some college/university study without earning a degree,Employed full-time,7,Bash/Shell/PowerShell;HTML/CSS;Java;JavaScript;Kotlin;PHP;Ruby;SQL;TypeScript,MariaDB;Microsoft SQL Server;MySQL;PostgreSQL;Redis,Linux;Windows;WordPress;Other(s):
3976,I am a developer by profession,28.0,South Africa,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Employed full-time,6,C#;F#;Ruby;SQL,Microsoft SQL Server;MySQL;Redis,AWS;Docker;Linux;Windows
3978,I am a developer by profession,32.0,Italy,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Employed full-time,5,Bash/Shell/PowerShell;C;C++;HTML/CSS;Java;JavaScript;PHP;Python,MongoDB;MySQL,Android;Arduino;Linux;Raspberry Pi;WordPress
3979,I am a developer by profession,24.0,India,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Employed full-time,2,Bash/Shell/PowerShell;C;C++;C#;HTML/CSS;Java;JavaScript;PHP;SQL;TypeScript,MariaDB;Oracle;SQLite,Windows;WordPress
3980,I am a developer by profession,27.0,United Kingdom,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Employed full-time,5,HTML/CSS;JavaScript;PHP;SQL;TypeScript;WebAssembly,MySQL;SQLite,Microsoft Azure;WordPress
3981,I am a developer by profession,22.0,Philippines,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Employed full-time,2,Assembly;Bash/Shell/PowerShell;C;C++;HTML/CSS;Java;JavaScript;Objective-C;PHP;Python;SQL,DynamoDB;MongoDB;Microsoft SQL Server;MySQL;SQLite,Android;Arduino;AWS;Docker;Google Cloud Platform;Heroku;IBM Cloud or Watson;iOS;MacOS;Windows
3986,I am a developer by profession,42.0,Italy,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Employed full-time,22,C#;HTML/CSS;JavaScript;TypeScript,Elasticsearch;MongoDB,AWS;Windows
3990,I am a developer by profession,38.0,Austria,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Employed full-time,20,HTML/CSS;Java;JavaScript;SQL,Oracle;PostgreSQL,AWS;Linux
3992,I am a developer by profession,41.0,Germany,"Professional degree (JD, MD, etc.)",Employed full-time,17,HTML/CSS;Java;JavaScript;SQL;TypeScript,Oracle,MacOS;Windows
3993,I am a developer by profession,32.0,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Employed full-time,2,Bash/Shell/PowerShell;C#;Go;HTML/CSS;JavaScript;Python;SQL;TypeScript,Microsoft SQL Server,Docker;Google Cloud Platform;Kubernetes;Linux;Windows
3995,I am a developer by profession,37.0,Ireland,Some college/university study without earning a degree,Employed full-time,14,C#;HTML/CSS;JavaScript;SQL;TypeScript,MongoDB;Microsoft SQL Server;PostgreSQL,AWS;Windows
3997,I am a developer by profession,34.0,Australia,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Employed full-time,10,Bash/Shell/PowerShell;Go;HTML/CSS;JavaScript;PHP;Python;Ruby;Rust;SQL;TypeScript,MariaDB;MongoDB;MySQL;PostgreSQL;Redis;SQLite,Android;AWS;Docker;Google Cloud Platform;Kubernetes;Linux
3998,I am a developer by profession,50.0,Norway,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",Employed full-time,24,Bash/Shell/PowerShell;Python,Microsoft SQL Server;MySQL;Oracle;PostgreSQL,Google Cloud Platform;Linux;Slack;Windows
4002,I am a developer by profession,33.0,Other Country (Not Listed Above),"Master’s degree (MA, MS, M.Eng., MBA, etc.)",Employed full-time,6,Bash/Shell/PowerShell;HTML/CSS;Java;JavaScript;Kotlin;TypeScript,Firebase;Oracle,Docker;Linux;Slack;WordPress
4005,I am a developer by profession,38.0,India,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Employed full-time,16,HTML/CSS;Java;SQL,MySQL,AWS;Windows
4006,I am a developer by profession,35.0,Germany,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",Employed full-time,7,Bash/Shell/PowerShell;Java;Kotlin;SQL,Other(s):,Windows
4007,I am a developer by profession,44.0,Netherlands,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Employed full-time,20,Assembly;Bash/Shell/PowerShell;C;JavaScript;Python,PostgreSQL,Arduino;AWS;Docker;Google Cloud Platform;Linux;MacOS;Microsoft Azure;Raspberry Pi
4009,I am a developer by profession,31.0,Argentina,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Employed full-time,11,C#;HTML/CSS;JavaScript;SQL;Other(s):,Microsoft SQL Server,Windows
4011,I am a developer by profession,22.0,Spain,"Professional degree (JD, MD, etc.)",Employed full-time,2,Bash/Shell/PowerShell;Java;JavaScript;Python;SQL,Firebase;MariaDB;MySQL;Other(s):,Android
4012,"I am not primarily a developer, but I write code sometimes as part of my work",29.0,Finland,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Employed part-time,1,Java;JavaScript;Python;SQL,Couchbase;MongoDB;Other(s):,Docker;IBM Cloud or Watson;Kubernetes
4013,I am a developer by profession,37.0,United States,Some college/university study without earning a degree,Employed full-time,20,Bash/Shell/PowerShell;C#;HTML/CSS;JavaScript;Ruby;TypeScript,Microsoft SQL Server;PostgreSQL;Redis;SQLite,Docker;Linux;Microsoft Azure;Windows
4015,I am a developer by profession,31.0,Turkey,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Employed full-time,7,Bash/Shell/PowerShell;Java;Kotlin;SQL,DynamoDB;Firebase;MySQL,AWS;MacOS;Slack
4016,I am a developer by profession,29.0,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Employed full-time,8,Java;SQL,MariaDB;MySQL,Linux;Slack;Windows
4017,I am a developer by profession,23.0,Germany,,Employed full-time,5,Bash/Shell/PowerShell;HTML/CSS;Java;JavaScript;SQL,Oracle,Android;Docker;Linux;MacOS;Windows
4018,I am a developer by profession,27.0,Israel,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Employed full-time,6,HTML/CSS;JavaScript;PHP;TypeScript,Microsoft SQL Server,Microsoft Azure;Slack
4019,I am a developer by profession,46.0,Switzerland,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",Employed full-time,20,C;C++;C#;HTML/CSS;VBA,SQLite,Windows
4020,I am a developer by profession,23.0,Singapore,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Employed full-time,3,Bash/Shell/PowerShell;HTML/CSS;Java;JavaScript;Objective-C;Ruby;Swift,Firebase;PostgreSQL,Android;AWS;Docker;Google Cloud Platform;iOS;MacOS;Windows
4022,"I am not primarily a developer, but I write code sometimes as part of my work",39.0,Argentina,Some college/university study without earning a degree,Employed full-time,5,C++;C#;HTML/CSS;Java;JavaScript;Python;SQL,MongoDB;Microsoft SQL Server;PostgreSQL,Windows
4025,I am a developer by profession,21.0,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Employed part-time,2,Bash/Shell/PowerShell;C;C++;Go;HTML/CSS;JavaScript;PHP;Python;SQL;Swift,Elasticsearch;MariaDB;MongoDB;MySQL;SQLite,AWS;Docker;Google Cloud Platform;Kubernetes;Linux;MacOS;Raspberry Pi
4026,I am a developer by profession,29.0,Ukraine,Some college/university study without earning a degree,Employed full-time,10,Bash/Shell/PowerShell;C;Elixir;Go;HTML/CSS;PHP;Python;R;Ruby;Rust;SQL;TypeScript,Elasticsearch;MongoDB;PostgreSQL;Redis,AWS;Docker;Google Cloud Platform;Heroku;Kubernetes;Linux;MacOS;Raspberry Pi;Slack
4027,I am a developer by profession,26.0,India,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Employed full-time,4,Dart;Go;HTML/CSS;Java;JavaScript;Kotlin;Python,Cassandra;Elasticsearch;Firebase;MongoDB;MySQL;Redis,Android;Docker;Google Cloud Platform;iOS;Kubernetes;WordPress
4028,I am a developer by profession,36.0,Germany,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",Employed full-time,10,Bash/Shell/PowerShell;C;C#;HTML/CSS;Java;JavaScript;Python;R;SQL;VBA,Elasticsearch;MySQL;PostgreSQL;SQLite;Other(s):,Android;Docker;Kubernetes;Linux;Microsoft Azure;Raspberry Pi;Windows;WordPress
4030,I am a developer by profession,36.0,Canada,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Employed full-time,18,Bash/Shell/PowerShell;HTML/CSS;JavaScript;Python;SQL,Elasticsearch;Firebase;MariaDB;MongoDB;MySQL;Redis;SQLite,AWS;Raspberry Pi;Slack
4033,I am a developer by profession,29.0,France,"Professional degree (JD, MD, etc.)",Employed full-time,6,Bash/Shell/PowerShell;C#;HTML/CSS;JavaScript;SQL;VBA,Microsoft SQL Server;Oracle;SQLite,Android;Windows
4034,I am a developer by profession,19.0,Australia,Some college/university study without earning a degree,Employed part-time,2,C;HTML/CSS;JavaScript;Python;Ruby;SQL,PostgreSQL;SQLite,AWS;Heroku;Kubernetes;Linux;MacOS
4035,I am a developer by profession,38.0,Canada,Associate degree,Employed full-time,7,C#;Dart;Go;HTML/CSS;JavaScript;Python,Microsoft SQL Server;SQLite,Linux;Windows
4038,I am a developer by profession,23.0,United Kingdom,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Employed full-time,2,C#;HTML/CSS;Java;JavaScript;SQL;TypeScript,Microsoft SQL Server;MySQL,Docker;Windows
4039,I am a developer by profession,44.0,Canada,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",Employed full-time,25,Bash/Shell/PowerShell;C#;HTML/CSS;Java;JavaScript;PHP;Python;SQL,DynamoDB;Elasticsearch;MariaDB;Microsoft SQL Server;MySQL;PostgreSQL;Redis;SQLite,Docker;Kubernetes;Linux;Windows;WordPress;Other(s):
4042,I am a developer by profession,30.0,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Employed full-time,8,Bash/Shell/PowerShell;HTML/CSS;Java;JavaScript;Kotlin;Objective-C;SQL;Swift,Firebase;MariaDB;MySQL;PostgreSQL;SQLite,Android;AWS;Docker;Heroku;iOS
4044,I am a developer by profession,30.0,France,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",Employed full-time,5,Assembly;Bash/Shell/PowerShell;C;C++;HTML/CSS;Java;Python;SQL;Other(s):,MySQL;PostgreSQL;SQLite,Arduino;Linux;Raspberry Pi;Windows
4045,I am a developer by profession,38.0,Netherlands,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Employed full-time,15,Bash/Shell/PowerShell;C#;HTML/CSS;JavaScript;PHP;Python;SQL;TypeScript,MariaDB;Microsoft SQL Server;MySQL,Microsoft Azure;Windows;WordPress
4046,I am a developer by profession,24.0,Slovenia,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",Employed full-time,4,JavaScript;PHP;Python;Scala,MySQL;SQLite,AWS;Docker;Slack
4047,I am a developer by profession,27.0,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Employed full-time,Less than 1 year,Bash/Shell/PowerShell;Clojure;HTML/CSS;Java;JavaScript;Python;Scala;SQL,MongoDB;Microsoft SQL Server;MySQL;PostgreSQL,
4048,I am a developer by profession,29.0,Brazil,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Employed full-time,6,C#;HTML/CSS;JavaScript;SQL,Microsoft SQL Server;Oracle,Windows
4055,I am a developer by profession,31.0,United States,Some college/university study without earning a degree,Employed full-time,8,Bash/Shell/PowerShell;C#;Erlang;HTML/CSS;JavaScript;SQL;TypeScript,Microsoft SQL Server,Arduino;Docker;Kubernetes;Linux;Microsoft Azure;Raspberry Pi;Windows
4057,I am a developer by profession,34.0,Spain,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Employed full-time,10,Bash/Shell/PowerShell;C;HTML/CSS;Java;JavaScript;Objective-C;PHP;SQL;TypeScript,Firebase;MongoDB;MySQL;SQLite,Android;AWS;Google Cloud Platform;Heroku;iOS;Linux;MacOS;Windows
4058,I am a developer by profession,33.0,United Kingdom,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Employed full-time,16,HTML/CSS;JavaScript;PHP;Python;SQL;TypeScript,MySQL,AWS;Docker;Linux;Slack
4061,I am a developer by profession,43.0,United States,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Employed full-time,13,Bash/Shell/PowerShell;C#;HTML/CSS;JavaScript;SQL;TypeScript,Microsoft SQL Server;Redis,AWS;Docker;Microsoft Azure;Slack;Windows;WordPress
4063,I am a developer by profession,23.0,Spain,Some college/university study without earning a degree,Employed full-time,2,Bash/Shell/PowerShell;C++;C#;HTML/CSS;Java;JavaScript;Python;SQL,Microsoft SQL Server;MySQL;SQLite,Microsoft Azure;Windows
4064,I am a developer by profession,25.0,India,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",Employed full-time,5,C#;Python;R;SQL,Microsoft SQL Server;MySQL;SQLite,Windows
4068,I am a developer by profession,30.0,India,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Employed full-time,9,C#;JavaScript,MongoDB;Microsoft SQL Server,Microsoft Azure;Windows
4069,I am a developer by profession,29.0,Austria,Some college/university study without earning a degree,Employed full-time,2,Bash/Shell/PowerShell;HTML/CSS;Java;JavaScript;PHP;SQL,Elasticsearch;MySQL,Android;Windows
4072,I am a developer by profession,23.0,Mexico,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Employed full-time,1,Assembly;Bash/Shell/PowerShell;C;HTML/CSS;Java;JavaScript;Kotlin;PHP;Python;SQL,DynamoDB;Firebase;MongoDB;MySQL,Android;Arduino;AWS;Docker;Linux;Slack;Windows
4073,I am a developer by profession,35.0,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Employed full-time,11,Bash/Shell/PowerShell;HTML/CSS;JavaScript;PHP;SQL;TypeScript,MySQL;Redis,Android;iOS;Linux
4074,I am a developer by profession,30.0,Canada,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",Employed full-time,9,Bash/Shell/PowerShell;HTML/CSS;JavaScript;PHP;SQL,Elasticsearch;MariaDB;MySQL;PostgreSQL,AWS;Linux;MacOS;Slack;WordPress
4075,I am a developer by profession,22.0,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Employed full-time,1,Bash/Shell/PowerShell;Erlang;Go;Java;JavaScript;Python;Rust;SQL,Firebase;PostgreSQL;Other(s):,AWS;Docker;Heroku;Linux;MacOS;Slack
4079,I am a developer by profession,33.0,Australia,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Employed full-time,14,Bash/Shell/PowerShell;C#;Go;HTML/CSS;JavaScript;SQL;TypeScript,Couchbase;MariaDB;Microsoft SQL Server;MySQL;SQLite,Android;AWS;Docker;iOS;Linux;MacOS;Microsoft Azure;Slack;Windows;WordPress
4080,I am a developer by profession,30.0,Austria,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Employed full-time,10,HTML/CSS;Java;JavaScript;SQL,Elasticsearch;Oracle,Windows
4082,I am a developer by profession,24.0,Estonia,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",Employed full-time,2,Java;JavaScript,MongoDB;MySQL;Redis,AWS;Docker;MacOS;Slack;Windows
4083,I am a developer by profession,34.0,United States,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",Employed full-time,13,C#;Go;Java;Python;TypeScript,MongoDB;Microsoft SQL Server,Android;Windows
4086,I am a developer by profession,32.0,India,Associate degree,Employed full-time,6,C;C++;C#;HTML/CSS;JavaScript;PHP;SQL;Other(s):,Microsoft SQL Server;MySQL;Oracle,Windows
4090,I am a developer by profession,42.0,United Kingdom,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Employed full-time,21,HTML/CSS;JavaScript;PHP;Python;SQL,MariaDB;MySQL,AWS
4091,I am a developer by profession,28.0,Germany,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",Employed full-time,Less than 1 year,R;SQL,MySQL;SQLite;Other(s):,Windows
4094,I am a developer by profession,32.0,Guatemala,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Employed full-time,9,C#;Java;SQL,Microsoft SQL Server;MySQL,MacOS;Windows
4099,I am a developer by profession,23.0,India,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Employed full-time,1,Bash/Shell/PowerShell;C;C++;C#;HTML/CSS;JavaScript;SQL;TypeScript,Firebase;Microsoft SQL Server;MySQL;Oracle;SQLite,AWS;Docker;Google Cloud Platform;Microsoft Azure
4101,I am a developer by profession,39.0,United Kingdom,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Employed full-time,7,Bash/Shell/PowerShell;Elixir;Erlang;HTML/CSS;JavaScript;Python;SQL,MariaDB;MySQL;PostgreSQL,Linux;Slack
4102,"I am not primarily a developer, but I write code sometimes as part of my work",21.0,Norway,Some college/university study without earning a degree,Employed part-time,1,Bash/Shell/PowerShell;C++;JavaScript;Python;R;SQL,SQLite,Docker
4104,I am a developer by profession,45.0,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Employed full-time,22,C#;HTML/CSS;JavaScript;SQL;TypeScript,Microsoft SQL Server,Linux;Microsoft Azure;Windows
4108,I am a developer by profession,28.0,Poland,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Employed full-time,5,C#;HTML/CSS;JavaScript;TypeScript,MySQL;SQLite;Other(s):,Windows
